                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95186,                  3.515,                0.96592,                0.00667,                0.44444,                0.02588,                0.01394,                 1.0984,                 3.2722,                0.95197,                    0.1,                      0,                      0
                      1,                 1.1419,                 3.3691,                0.97526,                0.00667,                0.44444,                  0.026,                0.01459,                 1.0817,                 3.2644,                 0.9511,               0.099095,              9.505e-05,              9.505e-05
                      2,                 1.0164,                 3.3246,                0.96114,                0.00833,                0.55556,                0.02727,                0.01552,                 1.0564,                 3.2575,                0.94855,                0.09818,              0.0001802,              0.0001802
                      3,                 1.0773,                 3.3607,                0.93928,                0.00833,                0.55556,                0.02781,                0.01675,                   1.06,                 3.2385,                0.93895,               0.097255,             0.00025545,             0.00025545
                      4,                0.95118,                 3.1903,                0.97615,                0.00833,                0.55556,                0.02365,                0.01563,                 1.0768,                 3.2298,                0.94015,               0.096321,              0.0003208,              0.0003208
                      5,                 1.0232,                 3.2109,                0.96611,                   0.01,                0.66667,                0.02518,                0.01629,                 1.0841,                  3.235,                0.95039,               0.095376,             0.00037625,             0.00037625
                      6,                0.97627,                 3.2725,                 0.9382,                   0.01,                0.66667,                0.02833,                0.01825,                  1.118,                 3.2166,                0.93898,               0.094422,              0.0004218,              0.0004218
                      7,                0.76385,                  3.107,                0.91537,                   0.01,                0.66667,                0.03121,                0.01983,                 1.1374,                 3.2104,                0.94252,               0.093457,             0.00045745,             0.00045745
                      8,                0.78088,                 3.1795,                0.91815,                   0.01,                0.66667,                0.03219,                0.02017,                 1.1656,                 3.2036,                0.94766,               0.092483,              0.0004832,              0.0004832
                      9,                0.95613,                 3.2057,                0.95116,                   0.01,                0.66667,                0.03305,                0.01859,                 1.1676,                 3.2006,                0.94022,               0.091499,             0.00049905,             0.00049905
                     10,                0.79124,                 3.2178,                0.97647,                   0.01,                0.66667,                0.03275,                0.01828,                 1.1584,                 3.1927,                 0.9384,               0.090505,               0.000505,               0.000505
                     11,                 0.8202,                 3.0427,                0.94054,                   0.01,                0.66667,                0.03285,                0.01792,                 1.1235,                 3.1748,                0.92981,               0.089501,             0.00050105,             0.00050105
                     12,                0.79487,                 2.8262,                0.89856,                   0.01,                0.66667,                0.02766,                0.01666,                 1.1202,                 3.1648,                0.93189,               0.088487,              0.0004872,              0.0004872
                     13,                0.77956,                 2.8994,                 0.9531,                0.01167,                0.77778,                0.02931,                 0.0176,                 1.1228,                 3.1563,                0.93122,               0.087463,             0.00046345,             0.00046345
                     14,                0.76481,                 2.7452,                0.86587,                0.01167,                0.77778,                0.02931,                0.01708,                 1.1212,                 3.1625,                0.94334,                0.08643,              0.0004298,              0.0004298
                     15,                0.84373,                 2.7477,                0.89518,                0.01167,                0.77778,                0.03117,                0.01842,                 1.1123,                 3.1454,                  0.925,               0.085386,             0.00038625,             0.00038625
                     16,                0.80464,                 2.7586,                0.90145,                0.01167,                0.77778,                0.03205,                0.01908,                 1.1005,                 3.1388,                0.92035,               0.084333,              0.0003328,              0.0003328
                     17,                0.62595,                 2.6351,                0.87843,                0.01167,                0.77778,                0.03205,                0.01908,                 1.1005,                 3.1388,                0.92035,               0.083269,             0.00026945,             0.00026945
                     18,                0.80275,                 2.6843,                0.88517,                0.01167,                0.77778,                0.05639,                0.02226,                 1.0862,                 3.1316,                0.91684,               0.082196,              0.0001962,              0.0001962
                     19,                0.72353,                 2.5793,                0.90164,                0.01167,                0.77778,                0.05639,                0.02226,                 1.0862,                 3.1316,                0.91684,               0.081113,             0.00011305,             0.00011305
