                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.412,                 2.8252,                 1.1244,                0.63232,                0.27351,                0.30308,                0.18021,                 1.4297,                 1.8374,                 1.0313,               0.070075,               0.003325,               0.003325
                      1,                 1.3523,                 1.8487,                 1.0988,                0.43805,                0.35681,                0.35706,                0.18846,                 1.6688,                 1.7274,                 1.1402,               0.039855,              0.0064386,              0.0064386
                      2,                 1.3704,                 1.7194,                 1.1099,                0.45552,                0.42504,                0.40763,                0.23788,                 1.4259,                 1.5498,                 1.0683,              0.0094155,              0.0093322,              0.0093322
                      3,                 1.3833,                 1.6616,                 1.1213,                0.50973,                0.43176,                0.41123,                0.23363,                 1.3892,                 1.5338,                 1.0489,                0.00901,                0.00901,                0.00901
                      4,                 1.4231,                 1.6351,                 1.1401,                0.41917,                0.47787,                0.39795,                0.19188,                  1.743,                 1.5267,                 1.1664,                0.00901,                0.00901,                0.00901
                      5,                 1.3854,                  1.548,                 1.1198,                0.54505,                0.44893,                0.45283,                0.22278,                 1.6623,                 1.4254,                 1.1437,                0.00868,                0.00868,                0.00868
                      6,                 1.3655,                  1.472,                  1.114,                 0.5378,                0.49893,                0.49638,                0.27724,                 1.5223,                 1.3235,                 1.1066,                0.00835,                0.00835,                0.00835
                      7,                 1.3605,                  1.517,                  1.119,                0.50095,                 0.4734,                0.44615,                0.24157,                 1.5912,                 1.4789,                  1.117,                0.00802,                0.00802,                0.00802
                      8,                 1.3183,                 1.4157,                 1.1102,                0.59261,                 0.4619,                0.48221,                0.25683,                 1.5433,                 1.3196,                 1.1126,                0.00769,                0.00769,                0.00769
                      9,                  1.327,                 1.3491,                   1.11,                0.61888,                0.48734,                0.52054,                0.27876,                 1.5588,                 1.2614,                 1.0963,                0.00736,                0.00736,                0.00736
                     10,                  1.311,                 1.3215,                 1.0871,                0.58654,                0.51038,                0.53896,                0.30634,                 1.4636,                 1.1811,                 1.0862,                0.00703,                0.00703,                0.00703
                     11,                 1.2952,                 1.2791,                 1.0863,                0.58785,                0.52362,                0.51801,                0.27062,                 1.6468,                 1.2246,                 1.1388,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.2783,                 1.2582,                 1.0779,                  0.576,                0.54246,                0.53502,                0.30271,                 1.4075,                  1.142,                 1.0377,                0.00637,                0.00637,                0.00637
                     13,                 1.2642,                 1.2496,                 1.0744,                0.64429,                0.50305,                0.54988,                0.30226,                 1.4706,                 1.1464,                 1.0708,                0.00604,                0.00604,                0.00604
                     14,                 1.2115,                 1.1875,                 1.0559,                0.55919,                0.52842,                0.52968,                 0.2889,                 1.4123,                 1.1748,                 1.0365,                0.00571,                0.00571,                0.00571
                     15,                 1.2307,                  1.205,                 1.0664,                0.59278,                0.53571,                0.55734,                 0.3115,                 1.4871,                 1.1484,                   1.07,                0.00538,                0.00538,                0.00538
                     16,                 1.2147,                 1.1508,                 1.0554,                0.66087,                0.51451,                0.55766,                0.30293,                 1.4274,                 1.1634,                 1.0506,                0.00505,                0.00505,                0.00505
                     17,                  1.158,                 1.1135,                 1.0374,                0.55825,                0.57301,                0.54485,                0.31513,                 1.4235,                 1.1908,                 1.0489,                0.00472,                0.00472,                0.00472
                     18,                 1.1819,                  1.101,                 1.0396,                 0.6088,                0.56515,                0.56371,                0.31017,                 1.4761,                 1.1434,                 1.0592,                0.00439,                0.00439,                0.00439
                     19,                 1.1689,                 1.0879,                 1.0369,                0.60687,                0.60324,                0.60513,                0.35672,                 1.3066,                 1.0557,                 1.0144,                0.00406,                0.00406,                0.00406
                     20,                  1.147,                 1.0595,                 1.0325,                0.62487,                0.56987,                0.59175,                0.34333,                 1.3702,                 1.1199,                 1.0295,                0.00373,                0.00373,                0.00373
                     21,                 1.1475,                 1.0596,                 1.0249,                0.59819,                0.59454,                0.59111,                0.34838,                 1.3127,                 1.0379,                 1.0011,                 0.0034,                 0.0034,                 0.0034
                     22,                  1.122,                 1.0168,                 1.0172,                0.57327,                0.60459,                0.59229,                0.33012,                 1.3545,                 1.0066,                 1.0088,                0.00307,                0.00307,                0.00307
                     23,                 1.0944,                 1.0163,                 1.0142,                0.66326,                0.58528,                 0.5955,                0.35566,                  1.305,                 1.0207,                 1.0022,                0.00274,                0.00274,                0.00274
                     24,                  1.089,                 1.0037,                 1.0015,                0.67249,                0.55475,                0.60153,                0.36058,                 1.2488,                 1.0398,                0.99089,                0.00241,                0.00241,                0.00241
                     25,                 1.0884,                0.98857,                 1.0113,                0.61743,                0.57657,                0.59272,                0.35503,                 1.2243,                0.99925,                0.97674,                0.00208,                0.00208,                0.00208
                     26,                 1.0933,                0.97334,                 1.0069,                0.68172,                0.55557,                0.59168,                0.35298,                 1.2562,                 1.0139,                0.97904,                0.00175,                0.00175,                0.00175
                     27,                 1.0834,                0.96596,                 1.0025,                0.67064,                0.56913,                0.61786,                0.35877,                  1.311,                0.98669,                0.99588,                0.00142,                0.00142,                0.00142
                     28,                 1.0499,                0.94721,                0.99311,                0.63748,                0.61298,                0.62133,                0.36671,                 1.3059,                0.96945,                0.99423,                0.00109,                0.00109,                0.00109
                     29,                 1.0547,                0.95614,                0.99501,                0.67884,                0.57769,                0.61848,                0.36936,                 1.2709,                0.96494,                0.98599,                0.00076,                0.00076,                0.00076
